epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613072327886,2021-02-11T19:40:33.803Z,33.227,-0.8328886032104492,0.11780636757612227,0.5830305218696594
1613072327925,2021-02-11T19:40:33.817Z,33.266,-0.8319120407104492,0.11609738320112227,0.5844953656196594
1613072327965,2021-02-11T19:40:33.832Z,33.306,-0.8394804000854492,0.11145871132612227,0.5808332562446594
1613072328006,2021-02-11T19:40:33.847Z,33.347,-0.8336210250854492,0.11829464882612227,0.5820539593696594
1613072328045,2021-02-11T19:40:33.891Z,33.385999999999996,-0.8355741500854492,0.12683957815170288,0.5844953656196594
1613072328086,2021-02-11T19:40:33.893Z,33.427,-0.8333768844604492,0.10755246132612227,0.5813215374946594
1613072328126,2021-02-11T19:40:33.908Z,33.467,-0.8367948532104492,0.11414425820112227,0.5798566937446594
1613072328165,2021-02-11T19:40:33.922Z,33.506,-0.8306913375854492,0.11853878945112227,0.5835188031196594
1613072328206,2021-02-11T19:40:33.938Z,33.547,-0.8343534469604492,0.11707394570112227,0.5859602093696594
1613072328246,2021-02-11T19:40:33.952Z,33.586999999999996,-0.8319120407104492,0.11341183632612227,0.5844953656196594
1613072328287,2021-02-11T19:40:33.966Z,33.628,-0.8345975875854492,0.11682980507612227,0.5803449749946594
1613072328327,2021-02-11T19:40:33.968Z,33.668,-0.8343534469604492,0.11414425820112227,0.5842512249946594
1613072328368,2021-02-11T19:40:33.996Z,33.709,-0.8326444625854492,0.11951535195112227,0.5837629437446594
1613072328407,2021-02-11T19:40:33.998Z,33.748000000000005,-0.8358182907104492,0.10974972695112227,0.5803449749946594
1613072328447,2021-02-11T19:40:34.027Z,33.788000000000004,-0.8355741500854492,0.11658566445112227,0.5793684124946594
1613072328488,2021-02-11T19:40:34.041Z,33.829,-0.8348417282104492,0.11487668007612227,0.5830305218696594
1613072328527,2021-02-11T19:40:34.072Z,33.868,-0.8350858688354492,0.11267941445112227,0.5779035687446594
1613072328568,2021-02-11T19:40:34.074Z,33.909,-0.8404569625854492,0.10828488320112227,0.5781477093696594
1613072328608,2021-02-11T19:40:34.088Z,33.949,-0.8382596969604492,0.10413449257612227,0.5764387249946594
1613072328647,2021-02-11T19:40:34.102Z,33.988,-0.8436307907104492,0.11951535195112227,0.5779035687446594
1613072328688,2021-02-11T19:40:34.117Z,34.029,-0.8358182907104492,0.09729855507612227,0.5781477093696594
1613072328728,2021-02-11T19:40:34.131Z,34.069,-0.8404569625854492,0.11365597695112227,0.5761945843696594
1613072328769,2021-02-11T19:40:34.133Z,34.11,-0.8426542282104492,0.12488644570112227,0.5769270062446594
