epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1613608834803,2021-02-18T00:41:55.503Z,89.226,0.05530346184968949,0.09926262497901917,0.019852524623274803
1613608834842,2021-02-18T00:41:55.505Z,89.265,0.11627907305955887,-0.08366420865058899,-0.04112308844923973
1613608834882,2021-02-18T00:41:55.516Z,89.305,-0.12762337923049927,0.16023823618888855,-0.10209869593381883
1613608834923,2021-02-18T00:41:55.518Z,89.346,-0.005672149825841188,-0.08366420865058899,-0.10209869593381883
1613608834962,2021-02-18T00:41:55.520Z,89.385,0.17725467681884766,-0.3885422646999359,0.019852524623274803
1613608835003,2021-02-18T00:41:55.537Z,89.426,-0.005672149825841188,-0.5714691281318665,-0.10209869593381883
1613608835043,2021-02-18T00:41:55.541Z,89.46600000000001,0.23823028802871704,-0.6324447393417358,0.08082813769578934
1613608835082,2021-02-18T00:41:55.546Z,89.505,0.6040839552879333,-0.5104935169219971,0.3247305750846863
1613608835123,2021-02-18T00:41:55.549Z,89.546,0.05530346184968949,-0.8763471841812134,-0.04112308844923973
1613608835173,2021-02-18T00:41:55.550Z,89.596,-0.12762337923049927,-1.2422008514404297,-0.1630743145942688
1613608835213,2021-02-18T00:41:55.559Z,89.63600000000001,-0.005672149825841188,-1.2422008514404297,-0.1630743145942688
1613608835254,2021-02-18T00:41:55.561Z,89.677,0.2992058992385864,-1.120249629020691,0.08082813769578934
1613608835293,2021-02-18T00:41:55.564Z,89.71600000000001,0.543108344078064,-1.0592739582061768,0.2027793526649475
1613608835334,2021-02-18T00:41:55.575Z,89.757,0.23823028802871704,-0.937322735786438,0.08082813769578934
1613608835374,2021-02-18T00:41:55.578Z,89.79700000000001,0.6040839552879333,-1.120249629020691,0.2027793526649475
1613608835413,2021-02-18T00:41:55.593Z,89.836,0.3601815104484558,-1.0592739582061768,0.08082813769578934
1613608835454,2021-02-18T00:41:55.597Z,89.87700000000001,0.23823028802871704,-0.937322735786438,-0.04112308844923973
1613608835494,2021-02-18T00:41:55.599Z,89.917,0.543108344078064,-0.6934203505516052,-0.04112308844923973
1613608835535,2021-02-18T00:41:55.601Z,89.958,0.8479864001274109,-0.4495178759098053,-0.1630743145942688
1613608835574,2021-02-18T00:41:55.604Z,89.99700000000001,0.4211571216583252,-0.6934203505516052,0.019852524623274803
1613608835614,2021-02-18T00:41:55.607Z,90.037,0.6650595664978027,-0.8153715133666992,0.3857061862945557
1613608835655,2021-02-18T00:41:55.618Z,90.07799999999999,0.9699376225471495,-1.851956844329834,0.5076574087142944
1613608835695,2021-02-18T00:41:55.621Z,90.118,-1.4081112146377563,-3.620249748229981,0.7515597939491272
1613608835736,2021-02-18T00:41:55.627Z,90.15899999999999,-5.188599109649658,-2.6446399688720703,1.3003404140472412
1613608835775,2021-02-18T00:41:55.635Z,90.198,-0.4325014352798462,-1.608054518699646,2.2149746417999268
1613608835815,2021-02-18T00:41:55.641Z,90.238,0.543108344078064,6.25779914855957,3.129608631134033
1613608835856,2021-02-18T00:41:55.646Z,90.279,2.5553035736083984,5.526092052459717,2.2149746417999268
1613608835895,2021-02-18T00:41:55.652Z,90.318,1.1528644561767578,11.440726280212402,0.6905842423439026
1613608835936,2021-02-18T00:41:55.660Z,90.359,-0.8593306541442871,15.526092529296875,-1.321610927581787
1613608835976,2021-02-18T00:41:55.666Z,90.399,-1.652013659477234,16.928531646728516,-3.3947815895080566
1613608836015,2021-02-18T00:41:55.670Z,90.43799999999999,-0.6764038801193237,20.46511650085449,-5.711854934692383
1613608836056,2021-02-18T00:41:55.673Z,90.479,0.543108344078064,25.64804458618164,-7.663074493408202
1613608836096,2021-02-18T00:41:55.678Z,90.51899999999999,2.616279125213623,26.92853164672852,-8.760635375976562
1613608836137,2021-02-18T00:41:55.680Z,90.56,3.347986459732056,29.062679290771484,-9.431366920471193
1613608836177,2021-02-18T00:41:55.684Z,90.6,3.043108463287353,26.44072723388672,-11.565513610839846
1613608836216,2021-02-18T00:41:55.695Z,90.639,6.274816036224365,28.69682502746582,-13.516733169555664
1613608836257,2021-02-18T00:41:55.697Z,90.68,12.616278648376465,30.34316635131836,-15.406976699829102
1613608836297,2021-02-18T00:41:55.699Z,90.72,12.372376441955565,30.83097076416016,-16.870391845703125
1613608836338,2021-02-18T00:41:55.709Z,90.76100000000001,12.00652313232422,32.11145782470703,-19.126489639282227
1613608836377,2021-02-18T00:41:55.714Z,90.8,12.677254676818848,33.94072723388672,-20.65087890625
1613608836417,2021-02-18T00:41:55.716Z,90.84,14.018717765808105,35.830970764160156,-22.05331802368164
1613608836458,2021-02-18T00:41:55.727Z,90.881,12.616278648376465,35.221214294433594,-22.78502655029297
1613608836497,2021-02-18T00:41:55.730Z,90.92,13.896766662597654,33.026092529296875,-22.114294052124023
1613608836538,2021-02-18T00:41:55.737Z,90.961,12.494327545166016,33.391944885253906,-20.04112434387207
1613608836578,2021-02-18T00:41:55.740Z,91.001,9.93335247039795,34.18463134765625,-17.05331802368164
1613608836628,2021-02-18T00:41:55.745Z,91.051,8.774815559387207,37.59926223754883,-14.919172286987305
1613608836669,2021-02-18T00:41:55.755Z,91.09200000000001,6.945547580718994,35.28219223022461,-10.406976699829102
1613608836719,2021-02-18T00:41:55.760Z,91.14200000000001,6.030913352966309,30.221214294433594,-8.455757141113281
1613608836758,2021-02-18T00:41:55.765Z,91.181,4.750425815582275,27.721214294433594,-7.541123390197754
1613608836799,2021-02-18T00:41:55.770Z,91.22200000000001,2.5553035736083984,34.672435760498054,-5.772830486297607
1613608836839,2021-02-18T00:41:55.774Z,91.262,1.6406693458557131,36.13584899902344,-4.5533180236816415
1613608836880,2021-02-18T00:41:55.782Z,91.303,4.628474235534668,29.4895076751709,-5.406976699829102
1613608836919,2021-02-18T00:41:55.785Z,91.34200000000001,10.90896224975586,21.13584899902344,-8.089903831481934
1613608836959,2021-02-18T00:41:55.787Z,91.382,10.604084014892578,12.233409881591795,-5.833806037902832
1613608837000,2021-02-18T00:41:55.799Z,91.42299999999999,9.750425338745117,8.635848999023438,-3.882586479187012
1613608837039,2021-02-18T00:41:55.804Z,91.462,7.921157360076903,7.843165397644043,-2.663074254989624
1613608837079,2021-02-18T00:41:55.807Z,91.50200000000001,7.921157360076903,7.843165397644043,-2.663074254989624
1613608837120,2021-02-18T00:41:55.815Z,91.54299999999999,7.494328022003174,5.587067604064941,-2.175269365310669
1613608837159,2021-02-18T00:41:55.818Z,91.58200000000001,6.945547580718994,7.23340892791748,-1.687464475631714
1613608837200,2021-02-18T00:41:55.820Z,91.62299999999999,7.921157360076903,3.2699942588806152,-3.02892804145813
1613608837240,2021-02-18T00:41:55.830Z,91.663,6.701645374298097,6.5626773834228525,-3.943562030792236
1613608837280,2021-02-18T00:41:55.836Z,91.70299999999999,6.701645374298097,6.5626773834228525,-3.943562030792236
1613608837321,2021-02-18T00:41:55.843Z,91.744,7.128474235534668,10.891945838928224,-4.858196258544922
1613608837360,2021-02-18T00:41:55.852Z,91.78299999999999,6.396767139434815,11.318775177001953,-4.9191718101501465
1613608837401,2021-02-18T00:41:55.874Z,91.824,4.750425815582275,11.867555618286133,-4.675269603729248
1613608837441,2021-02-18T00:41:55.876Z,91.86399999999999,4.567498683929443,12.294384956359865,-3.5777084827423096
1613608837480,2021-02-18T00:41:55.878Z,91.90299999999999,4.567498683929443,12.294384956359865,-3.5777084827423096
1613608837521,2021-02-18T00:41:55.890Z,91.944,2.8601815700531006,9.855360984802246,-3.3947815895080566
1613608837561,2021-02-18T00:41:55.892Z,91.984,1.8845717906951904,5.221213817596436,-3.3947815895080566
1613608837602,2021-02-18T00:41:55.903Z,92.025,1.0918889045715332,-0.998298406600952,-3.2728304862976074
1613608837641,2021-02-18T00:41:55.906Z,92.064,1.2748156785964966,-2.339761734008789,-2.2972207069396973
1613608837681,2021-02-18T00:41:55.910Z,92.104,1.2748156785964966,-2.339761734008789,-2.2972207069396973
1613608837722,2021-02-18T00:41:55.919Z,92.145,-0.3105502128601074,-2.7665910720825195,-0.5899035930633545
1613608837762,2021-02-18T00:41:55.923Z,92.185,-1.2251843214035034,-6.181225299835205,0.5686330199241638
1613608837803,2021-02-18T00:41:55.925Z,92.226,-1.5910381078720093,-7.4617133140563965,1.3003404140472412
1613608837842,2021-02-18T00:41:55.936Z,92.265,-1.2251843214035034,-6.303176403045653,1.3613159656524658
1613608837882,2021-02-18T00:41:55.937Z,92.305,-2.0788428783416752,-5.388542175292969,1.239364743232727
1613608837923,2021-02-18T00:41:55.953Z,92.346,-1.3471355438232422,-4.534883975982666,0.93448668718338
1613608837962,2021-02-18T00:41:55.957Z,92.385,-1.2861599922180176,-3.19342041015625,0.5686330199241638
1613608838003,2021-02-18T00:41:55.966Z,92.426,-0.6154282093048096,-0.08366420865058899,0.3247305750846863
1613608838043,2021-02-18T00:41:55.967Z,92.46600000000001,0.05530346184968949,0.4651162922382355,-0.2850255370140076
