epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1613608592525,2021-02-18T00:38:12.502Z,41.86600000000001,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592566,2021-02-18T00:38:12.519Z,41.907,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592605,2021-02-18T00:38:12.534Z,41.946000000000005,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592646,2021-02-18T00:38:12.546Z,41.986999999999995,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592686,2021-02-18T00:38:12.561Z,42.027,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592727,2021-02-18T00:38:12.576Z,42.068000000000005,0.4070026779908619,0.5139131564657787,0.38304195332419394,0.6507848720685147
1613608592766,2021-02-18T00:38:12.596Z,42.107,0.4069150221440002,0.5139735425766292,0.3830311615717675,0.6507983493754115
1613608592807,2021-02-18T00:38:12.607Z,42.148,0.4069114581089259,0.5141305010561893,0.3827967901659165,0.6508144978271851
1613608592848,2021-02-18T00:38:12.621Z,42.18899999999999,0.4067934093856605,0.5144422339596967,0.38228066596342736,0.6509453144692767
1613608592888,2021-02-18T00:38:12.633Z,42.229,0.4060497623775095,0.5144615513199429,0.3823686665632763,0.6513425408471857
1613608592929,2021-02-18T00:38:12.650Z,42.27,0.4045231370106612,0.5149216935704776,0.3832614790835222,0.6514041140216078
1613608592968,2021-02-18T00:38:12.663Z,42.309,0.4035446636659013,0.515366103053159,0.3837827118811433,0.6513526804364366
1613608593009,2021-02-18T00:38:12.664Z,42.35,0.4000732294835674,0.5163900837821879,0.38553477474806574,0.6516483943676774
1613608593049,2021-02-18T00:38:12.665Z,42.39,0.3980274010785491,0.5161199891661579,0.3882431988742099,0.6515071475446003
1613608593090,2021-02-18T00:38:12.675Z,42.431000000000004,0.3970945438880724,0.5159071848130649,0.38969051887010997,0.6513808405037149
1613608593129,2021-02-18T00:38:12.679Z,42.47,0.394733358974112,0.5158746197374259,0.3927724436619077,0.6509905986445844
1613608593171,2021-02-18T00:38:12.686Z,42.512,0.3903656261614311,0.5162942680833452,0.3993771794072948,0.6492709567080219
1613608593210,2021-02-18T00:38:12.690Z,42.551,0.3886479383353925,0.5166555594595854,0.4017584375979044,0.6485445017314099
1613608593251,2021-02-18T00:38:12.695Z,42.592,0.3844951636900574,0.5182462865284404,0.4061663052840574,0.6470032365068475
1613608593292,2021-02-18T00:38:12.700Z,42.633,0.3773333773980823,0.5208140306464,0.4117992381603439,0.6455955817954205
1613608593332,2021-02-18T00:38:12.708Z,42.673,0.3747751042289573,0.5219332955754447,0.4127552266622079,0.6455713586296711
1613608593373,2021-02-18T00:38:12.709Z,42.714,0.36971321777108623,0.5240572280244373,0.41366453445787305,0.6461871333386664
1613608593412,2021-02-18T00:38:12.710Z,42.753,0.3622677079906023,0.5262461609320294,0.4152932823619021,0.6475790109914107
1613608593453,2021-02-18T00:38:12.713Z,42.794,0.3598244398406395,0.5268252289136639,0.41525552594780746,0.6484939466511969
1613608593493,2021-02-18T00:38:12.715Z,42.833999999999996,0.35582950182774986,0.527457898949354,0.4140412658746211,0.650955728615925
1613608593534,2021-02-18T00:38:12.717Z,42.875,0.3519410700827962,0.5269504773535828,0.4133092030150851,0.6539389729239593
1613608593573,2021-02-18T00:38:12.719Z,42.913999999999994,0.3511093253347716,0.5267264357313592,0.41357584319176144,0.6543978342666816
1613608593614,2021-02-18T00:38:12.721Z,42.955,0.35000274568554723,0.5262034610934975,0.41482196669564503,0.6546225870626216
1613608593654,2021-02-18T00:38:12.723Z,42.995,0.349098306825346,0.5264332103534892,0.41554423606717,0.654462707172798
1613608593695,2021-02-18T00:38:12.726Z,43.036,0.34889114579925845,0.5267274826635754,0.4158439492719461,0.6541459601982453
1613608593734,2021-02-18T00:38:12.728Z,43.075,0.34815021567842386,0.5277012853208721,0.4164710350236954,0.6533564553749036
1613608593775,2021-02-18T00:38:12.731Z,43.11600000000001,0.3476149490278105,0.5296456644884648,0.4150639629355102,0.6529634170252072
1613608593816,2021-02-18T00:38:12.732Z,43.157,0.34859366648882284,0.5330652493450204,0.4158288375119705,0.6491612076503445
1613608593856,2021-02-18T00:38:12.735Z,43.196999999999996,0.3495940247335353,0.5335287451042989,0.41775434665461575,0.647002628950776
1613608593897,2021-02-18T00:38:12.739Z,43.238,0.3512868685094161,0.5352390788528449,0.42155162514640576,0.6421922545609147
1613608593937,2021-02-18T00:38:12.741Z,43.278,0.3531200594681132,0.5394904866345521,0.4236296318259619,0.6362343699227906
1613608593978,2021-02-18T00:38:12.743Z,43.318999999999996,0.3555343532815057,0.5396243214654021,0.4262186500976389,0.63303915963284
1613608594017,2021-02-18T00:38:12.746Z,43.358000000000004,0.3607855549983781,0.5380774379954008,0.43707496747836905,0.6239166024627016
1613608594058,2021-02-18T00:38:12.748Z,43.398999999999994,0.3649230884518776,0.5408469672682603,0.4378812844533353,0.6185270230450451
1613608594098,2021-02-18T00:38:12.749Z,43.43899999999999,0.3663491658996717,0.5409886511470483,0.43884502707940254,0.6168748740080037
1613608594139,2021-02-18T00:38:12.752Z,43.48,0.3684145080548079,0.5419494722119073,0.4388796563618861,0.6147732647534715
1613608594178,2021-02-18T00:38:12.754Z,43.519,0.3732256528423825,0.5429334182369383,0.43882112706571225,0.6110334965144786
