epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612902657537,2021-02-09T20:31:55.933Z,78.97800000000001,0.07011274993419647,0.12986616790294647,-0.9855679869651794
1612902657577,2021-02-09T20:31:55.945Z,79.018,0.06986860930919647,0.12864546477794647,-0.9855679869651794
1612902657616,2021-02-09T20:31:55.947Z,79.057,0.07108931243419647,0.12791304290294647,-0.9870328307151794
1612902657656,2021-02-09T20:31:55.958Z,79.097,0.07182173430919647,0.12937788665294647,-0.9870328307151794
1612902657695,2021-02-09T20:31:55.959Z,79.13600000000001,0.06986860930919647,0.13084273040294647,-0.9877652525901794
1612902657735,2021-02-09T20:31:55.962Z,79.176,0.07304243743419647,0.12913374602794647,-0.9841031432151794
1612902657775,2021-02-09T20:31:55.973Z,79.21600000000001,0.07157759368419647,0.12864546477794647,-0.9855679869651794
1612902657814,2021-02-09T20:31:55.975Z,79.255,0.07133345305919647,0.12864546477794647,-0.9865445494651794
1612902657854,2021-02-09T20:31:55.977Z,79.295,0.07133345305919647,0.12815718352794647,-0.9863004088401794
1612902657895,2021-02-09T20:31:55.989Z,79.336,0.07328657805919647,0.12840132415294647,-0.9875211119651794
1612902657934,2021-02-09T20:31:55.991Z,79.375,0.07231001555919647,0.12766890227794647,-0.9841031432151794
1612902657974,2021-02-09T20:31:55.993Z,79.415,0.07084517180919647,0.12986616790294647,-0.9845914244651794
1612902658013,2021-02-09T20:31:56.004Z,79.454,0.07279829680919647,0.13011030852794647,-0.9882535338401794
1612902658053,2021-02-09T20:31:56.019Z,79.494,0.07304243743419647,0.13084273040294647,-0.9860562682151794
1612902658092,2021-02-09T20:31:56.022Z,79.533,0.07206587493419647,0.13059858977794647,-0.9841031432151794
1612902658132,2021-02-09T20:31:56.033Z,79.57300000000001,0.07084517180919647,0.13133101165294647,-0.9848355650901794
1612902658171,2021-02-09T20:31:56.034Z,79.612,0.07084517180919647,0.13133101165294647,-0.9875211119651794
1612902658211,2021-02-09T20:31:56.037Z,79.652,0.06864790618419647,0.12962202727794647,-0.9855679869651794
1612902658251,2021-02-09T20:31:56.048Z,79.692,0.07108931243419647,0.12913374602794647,-0.9880093932151794
1612902658290,2021-02-09T20:31:56.050Z,79.73100000000001,0.07011274993419647,0.12937788665294647,-0.9858121275901794
